Defect_ID,X,Y,Area,Width,Height,Severity
1,139,254,32.0,18,3,Medium
2,156,247,14.0,3,9,Low
3,141,244,7.0,4,4,Low
4,97,244,34.5,13,4,Medium
5,75,239,9.5,9,3,Low
6,99,234,13.5,8,3,Low
7,178,230,13.0,8,3,Low
8,134,233,22.0,7,8,Medium
9,114,234,35.5,8,13,Medium
10,193,229,34.5,8,13,Medium
11,163,225,14.0,8,3,Low
12,113,216,35.0,13,8,Medium
13,203,210,14.5,9,3,Low
14,52,212,19.0,4,8,Low
15,148,207,53.0,9,8,Medium
16,67,203,15.0,3,9,Low
17,205,195,7.0,4,4,Low
18,77,195,7.0,4,4,Low
19,52,195,7.0,4,4,Low
20,57,190,7.0,4,4,Low
21,226,189,61.0,18,8,High
22,215,180,7.0,4,4,Low
23,75,175,15.0,9,3,Low
24,35,175,13.0,8,3,Low
25,48,173,13.0,3,8,Low
26,243,174,55.5,8,22,Medium
27,23,158,13.5,3,8,Low
28,235,158,48.0,13,13,Medium
29,75,151,14.0,9,3,Low
30,30,136,35.5,8,13,Medium
31,18,133,13.0,3,8,Low
32,249,128,13.5,3,8,Low
33,33,118,14.5,3,9,Low
34,13,116,7.0,4,4,Low
35,75,111,22.0,9,4,Medium
36,13,106,7.0,4,4,Low
37,242,104,48.0,8,8,Medium
38,60,101,14.5,9,3,Low
39,79,96,20.0,8,4,Medium
40,33,94,14.0,3,8,Low
41,65,87,13.0,8,3,Low
42,22,91,34.5,8,13,Medium
43,90,78,25.5,8,8,Medium
44,230,69,13.0,3,8,Low
45,79,67,13.5,8,3,Low
46,124,62,13.5,8,3,Low
47,89,62,13.0,8,3,Low
48,70,62,12.0,7,3,Low
49,31,62,8.5,8,3,Low
50,217,47,19.0,8,4,Low
51,112,47,34.0,13,4,Medium
52,77,47,7.0,4,4,Low
53,161,42,7.0,4,4,Low
54,151,47,56.0,13,14,Medium
55,52,45,21.0,4,9,Medium
56,193,37,13.0,8,3,Low
57,156,30,13.5,3,8,Low
58,195,25,8.5,3,8,Low
59,171,25,34.5,13,8,Medium
60,82,20,13.0,3,8,Low
61,161,15,19.5,4,8,Low
62,135,22,57.5,13,18,Medium
63,145,11,44.0,9,13,Medium
