X,Y,Status,Sector
475,77,GOOD,Edge
608,83,GOOD,Edge
654,83,GOOD,Edge
418,96,GOOD,Edge
356,131,GOOD,Edge
369,222,GOOD,Top
209,233,GOOD,Edge
531,373,GOOD,Top
590,377,GOOD,Top
1089,393,GOOD,Edge
924,495,GOOD,Right
798,520,GOOD,Right
440,518,GOOD,Center
352,553,GOOD,Left
363,587,GOOD,Left
956,597,GOOD,Right
656,608,GOOD,Center
1105,638,GOOD,Edge
1105,678,GOOD,Edge
658,669,GOOD,Center
1030,680,GOOD,Right
1083,680,GOOD,Edge
797,703,GOOD,Right
311,699,GOOD,Left
704,703,GOOD,Center
572,733,GOOD,Center
855,718,GOOD,Right
773,717,GOOD,Right
134,726,GOOD,Edge
194,726,GOOD,Left
1100,747,GOOD,Edge
1024,738,GOOD,Right
774,749,GOOD,Right
1052,760,GOOD,Edge
774,783,GOOD,Right
889,773,GOOD,Right
982,772,GOOD,Right
922,773,GOOD,Right
1101,795,GOOD,Edge
1041,808,GOOD,Edge
1073,833,GOOD,Edge
865,841,GOOD,Bottom
873,894,GOOD,Bottom
624,904,GOOD,Bottom
700,933,GOOD,Bottom
751,956,GOOD,Bottom
855,968,GOOD,Bottom
547,974,GOOD,Bottom
554,1004,GOOD,Bottom
917,1023,GOOD,Edge
485,102,DEFECT,Critical
682,79,DEFECT,Critical
751,102,DEFECT,Critical
382,124,DEFECT,Critical
612,137,DEFECT,Critical
885,132,DEFECT,Critical
358,172,DEFECT,Critical
727,172,DEFECT,Critical
249,180,DEFECT,Critical
889,195,DEFECT,Critical
635,217,DEFECT,Critical
242,241,DEFECT,Critical
843,241,DEFECT,Critical
192,259,DEFECT,Critical
334,265,DEFECT,Critical
404,265,DEFECT,Critical
611,287,DEFECT,Critical
219,310,DEFECT,Critical
843,310,DEFECT,Critical
566,333,DEFECT,Critical
323,345,DEFECT,Critical
497,333,DEFECT,Critical
647,367,DEFECT,Critical
866,356,DEFECT,Critical
1063,368,DEFECT,Critical
174,379,DEFECT,Critical
1005,379,DEFECT,Critical
542,425,DEFECT,Critical
1051,425,DEFECT,Critical
382,448,DEFECT,Critical
1098,449,DEFECT,Critical
462,472,DEFECT,Critical
750,472,DEFECT,Critical
855,484,DEFECT,Critical
265,517,DEFECT,Critical
311,517,DEFECT,Critical
982,530,DEFECT,Critical
520,541,DEFECT,Critical
416,565,DEFECT,Critical
682,565,DEFECT,Critical
820,565,DEFECT,Critical
1052,565,DEFECT,Critical
1141,565,DEFECT,Critical
300,599,DEFECT,Critical
912,587,DEFECT,Critical
404,610,DEFECT,Critical
843,611,DEFECT,Critical
61,633,DEFECT,Critical
612,633,DEFECT,Critical
1051,633,DEFECT,Critical
704,657,DEFECT,Critical
832,668,DEFECT,Critical
1005,657,DEFECT,Critical
150,679,DEFECT,Critical
324,703,DEFECT,Critical
520,680,DEFECT,Critical
751,680,DEFECT,Critical
104,703,DEFECT,Critical
427,703,DEFECT,Critical
1005,703,DEFECT,Critical
1121,703,DEFECT,Critical
658,703,DEFECT,Critical
242,726,DEFECT,Critical
1051,725,DEFECT,Critical
612,749,DEFECT,Critical
727,749,DEFECT,Critical
820,749,DEFECT,Critical
889,749,DEFECT,Critical
150,773,DEFECT,Critical
347,773,DEFECT,Critical
566,773,DEFECT,Critical
959,773,DEFECT,Critical
1005,773,DEFECT,Critical
1087,784,DEFECT,Critical
104,807,DEFECT,Critical
889,795,DEFECT,Critical
751,818,DEFECT,Critical
808,830,DEFECT,Critical
1027,842,DEFECT,Critical
612,866,DEFECT,Critical
219,900,DEFECT,Critical
912,888,DEFECT,Critical
693,935,DEFECT,Critical
566,933,DEFECT,Critical
889,933,DEFECT,Critical
427,957,DEFECT,Critical
797,957,DEFECT,Critical
265,981,DEFECT,Critical
358,980,DEFECT,Critical
497,981,DEFECT,Critical
901,992,DEFECT,Critical
612,1026,DEFECT,Critical
682,1049,DEFECT,Critical
334,1073,DEFECT,Critical
775,1073,DEFECT,Critical
542,1095,DEFECT,Critical
450,1118,DEFECT,Critical
658,1118,DEFECT,Critical
