X,Y,Status,Sector
483,63,GOOD,Edge
497,63,DEFECT,Edge
511,63,GOOD,Edge
525,63,GOOD,Edge
539,63,GOOD,Edge
553,63,GOOD,Edge
567,63,GOOD,Edge
581,63,GOOD,Edge
595,63,GOOD,Edge
609,63,GOOD,Edge
623,63,GOOD,Edge
637,63,GOOD,Edge
651,63,GOOD,Edge
665,63,GOOD,Edge
679,63,GOOD,Edge
693,63,GOOD,Edge
707,63,GOOD,Edge
441,77,GOOD,Edge
455,77,GOOD,Edge
469,77,GOOD,Edge
483,77,GOOD,Edge
497,77,GOOD,Edge
511,77,GOOD,Edge
525,77,GOOD,Edge
539,77,GOOD,Edge
553,77,GOOD,Edge
567,77,GOOD,Edge
581,77,GOOD,Edge
595,77,GOOD,Edge
609,77,GOOD,Edge
623,77,GOOD,Edge
637,77,GOOD,Edge
651,77,GOOD,Edge
665,77,GOOD,Edge
679,77,GOOD,Edge
693,77,GOOD,Edge
707,77,GOOD,Edge
721,77,GOOD,Edge
735,77,GOOD,Edge
749,77,GOOD,Edge
763,77,GOOD,Edge
399,91,GOOD,Edge
413,91,GOOD,Edge
427,91,GOOD,Edge
441,91,GOOD,Edge
455,91,GOOD,Edge
469,91,GOOD,Edge
483,91,GOOD,Edge
497,91,GOOD,Edge
511,91,GOOD,Edge
525,91,GOOD,Edge
539,91,GOOD,Edge
553,91,GOOD,Edge
567,91,GOOD,Edge
581,91,GOOD,Edge
595,91,GOOD,Edge
609,91,GOOD,Edge
623,91,GOOD,Edge
637,91,GOOD,Edge
651,91,GOOD,Edge
665,91,GOOD,Edge
679,91,GOOD,Edge
693,91,GOOD,Edge
707,91,GOOD,Edge
721,91,GOOD,Edge
735,91,GOOD,Edge
749,91,GOOD,Edge
763,91,GOOD,Edge
777,91,GOOD,Edge
791,91,GOOD,Edge
805,91,GOOD,Edge
371,105,GOOD,Edge
385,105,GOOD,Edge
399,105,GOOD,Edge
413,105,GOOD,Edge
427,105,GOOD,Edge
441,105,GOOD,Edge
455,105,GOOD,Edge
469,105,GOOD,Edge
483,105,GOOD,Edge
497,105,GOOD,Edge
511,105,GOOD,Edge
525,105,GOOD,Edge
539,105,GOOD,Edge
553,105,GOOD,Edge
567,105,GOOD,Edge
581,105,GOOD,Edge
595,105,GOOD,Edge
609,105,GOOD,Edge
623,105,GOOD,Edge
637,105,GOOD,Edge
651,105,GOOD,Edge
665,105,GOOD,Edge
679,105,GOOD,Edge
693,105,GOOD,Edge
707,105,GOOD,Edge
721,105,GOOD,Edge
735,105,GOOD,Edge
749,105,GOOD,Edge
763,105,GOOD,Edge
777,105,GOOD,Edge
791,105,GOOD,Edge
805,105,GOOD,Edge
819,105,GOOD,Edge
833,105,GOOD,Edge
343,119,GOOD,Edge
357,119,GOOD,Edge
371,119,GOOD,Edge
385,119,GOOD,Edge
399,119,GOOD,Edge
413,119,GOOD,Edge
427,119,GOOD,Edge
441,119,GOOD,Edge
455,119,GOOD,Edge
469,119,GOOD,Edge
483,119,GOOD,Edge
497,119,GOOD,Edge
511,119,GOOD,Edge
525,119,GOOD,Edge
539,119,DEFECT,Edge
553,119,DEFECT,Edge
567,119,GOOD,Edge
581,119,GOOD,Edge
595,119,GOOD,Edge
609,119,GOOD,Edge
623,119,GOOD,Edge
637,119,GOOD,Edge
651,119,GOOD,Edge
665,119,GOOD,Edge
